draft	milestone	type	size	title	covers	justification	assigned
ABI-@build-snapshot-check	V0.5	build	M	Add CI golden ABI snapshot diff that fails unless the change links an accepted ADR	GAP-0099,INV-1268	Makes accidental Layer 1 changes mechanically impossible from the first prototype; snapshot is generated from a machine-readable ABI definition covering entry points, object types and message layouts.	ABI-027
ABI-@build-stability-layer-lint	V0.5	build	M	Classify public symbols into stability layers and enforce policy in CI	INV-1289	Classifying every public symbol into L1–L4 and enforcing the layer policy is ABI surfaces-register work. build-firewall-lint rejects POSIX names; decide-layer1-scope enumerates L1 versus L2; neither is the classifier. BLD only runs the resulting check. V0.5 with the first immutable packages, not V0.	ABI-028
ABI-@build-syscall-filter-native	V1	build	M	Enforce that native Components cannot invoke Linux syscalls, with a filter test	INV-0143	Phase B verification: once the personality is a product at V1, native components must be shown to run with the Linux syscall world closed; test retained in CI.	ABI-035
ABI-@classify-stability-layers	V1	build	M	Classify every public symbol into a stability layer	INV-1289,INV-1130	Surfaces register plus a lint that rejects POSIX-shaped names, Linux syscall numbers and Wayland objects on native surfaces unless an accepted Decision exempts them.	ABI-036
ABI-@decide-abi-stable-1x	1.0	adr	S	Decide the 1.x stability declaration superseding the freeze ADR with 'stable for 1.x'		1.0 exit: the ABI freeze ADR is amended to 'stable for 1.x' and a public policy states Layer 1 changes require a major version; decisions are immutable so this is a superseding adr.	ABI-053
ABI-@decide-binding-substrate	V0	adr	S	Decide the binding substrate: C-compatible ABI header plus IDL-generated language stubs	INV-0945,INV-0944	Language neutrality (§50) must be fixed before the Rust runtime and C header are built; options include header-only, IDL-only and Rust-native ABI.	ABI-007
ABI-@decide-deprecation-process	V2	adr	S	Decide the Layer 1 and platform deprecation process: announcement, overlap, detection	GAP-0347	Store client and third-party packages arrive at V2, so retiring an entry point needs an agreed process before the V4 removal of deprecated entry points.	ABI-045
ABI-@decide-entry-mechanism	V0	adr	S	Decide the native ABI entry mechanism and the maximum count of kernel entry points	GAP-0500,INV-1269,INV-1279	V0 exit requires accepted ADRs for every architectural choice; bounds the L1 surface per §65 rule 1. Depends on spike-entry-mechanism and bench-entry-overhead. Surface state prototyped, not frozen.	ABI-008
ABI-@decide-failure-encoding	V0	adr	S	Decide the Operation result error model: typed enum per kind or uniform error object	INV-0375,INV-1279	V0 exit requires typed errors for forged handles, denied derivation and Timeout; the error model is one of the five ABI-shape decisions split out of INV-1279 per the critique's hub-splitting advice.	ABI-009
ABI-@decide-handle-encoding	V0	adr	M	Decide Capability handle representation: dense index, sparse id or sealed value	INV-0186,INV-1271,INV-1276,INV-1279	V0 exit names handle representation as a required ADR; options must record CHERI/tagged-memory implications per §8. Takes CAP's GAP-0483 prototype as its spike input. Surface prototyped in V0.	ABI-010
ABI-@decide-header-license-exception	V0.5	adr	S	Decide whether ABI headers carry a syscall-note-style exception for native programs	GAP-0003	Must be accepted alongside SDK's V0.5 licence adr (GAP-0006) before the first third-party native application is built against the header; GOV's licence firewall (GAP-0004) is the input.	ABI-029
ABI-@decide-layer1-freeze	V4	adr	M	Decide the Layer 1 freeze: accept the freeze ADR over the reviewed candidate set	INV-1278,INV-1268	V4 exit: 'the freeze ADR is accepted'; critique forbids any L1 freeze before V4; options include freezing the full candidate set, a reduced core, or deferring to 1.0.	ABI-049
ABI-@decide-layer1-scope	V0	adr	M	Decide Layer 1 scope: enumerate L1 primitives and place every concept in L1 or L2	INV-1284,INV-1290	V0 scope requires a stability-layer declaration; answers the L1-vs-L2 question (compositor protocol, package format, ResourceDomain policy) so downstream workstreams know which surfaces are L1.	ABI-011
ABI-@decide-layer2-stability-timing	V1	adr	S	Decide whether Layer 2 interface stability applies at V1 or only at 1.0	GAP-0545	SDK v1 and IPC's frozen L2 evolution rules at V1 need this answered so developers know which interfaces may still break before 1.0.	ABI-037
ABI-@decide-object-dispatch	V0	adr	M	Decide object-operation dispatch with async-only submission and move semantics	INV-1279,INV-1272,INV-1273	Fixes how Operations are invoked on typed handles, that no blocking entry exists other than wait-for-completion (rule 4) and how Capability and MemoryObject arguments move (rule 5); depends on the entry, handle and error adrs.	ABI-012
ABI-@decide-object-residency	V0	adr	M	Decide which Object<T> types live in the kernel and the kernel-residency criteria	INV-0172,INV-1270	Fixes §65 rule 2 (high-level semantics in user services) as a written criterion so V0 object types are placed deliberately; depends on spike-zircon-object-model.	ABI-013
ABI-@decide-operation-kind-set	V0	adr	S	Decide whether the Operation kind set is a closed kernel enum or extensible registry	INV-0357	Operation submission is a V0 exit criterion; the kind set's extensibility rule is an ABI stability property that must precede the entry layer build.	ABI-014
ABI-@decide-operation-reference	V0	adr	S	Decide how user space identifies an Operation: Capability, ring index or opaque handle	INV-0373	V0 cancellation and deadline exit criteria need a stable way to reference in-flight Operations; coordinated with TSK's completion-delivery adr.	ABI-015
ABI-@decide-version-negotiation	V0	adr	S	Decide the Layer 1 version identification and feature-negotiation scheme	INV-1274,INV-1279	§65 rule 6 requires versioning from V0 and critique contradiction #12 requires a Layer 1 handshake test at V0; this adr defines what the handshake negotiates.	ABI-016
ABI-@docs-abi-specification-v0	V0	docs	L	Write the normative, versioned native ABI specification v0 defining every entry point	INV-1280,INV-1269	V0 scope 'Native ABI v0 ... stability-layer declaration'; the spec enumerates and bounds the surface and records every surface as prototyped.	ABI-017
ABI-@docs-abi-specification-v1	V1	docs	M	Revise the ABI specification to v1 with freeze-candidate marking and full semantics	INV-1280,INV-1269	SDK v1 and DOC's IDL-to-docs generation at V1 need a complete normative spec; the entry-point bound from decide-entry-mechanism is re-verified here.	ABI-038
ABI-@docs-abi-stability-statement-draft	V4	docs	S	Draft the ABI stability statement for RFC review		V4 exit: support policy documents including the ABI stability statement drafted, reviewed via RFC, and accepted.	ABI-050
ABI-@docs-change-control-process	V0.5	docs	M	Publish Layer 1 change control: mandatory RFC, compatibility review, per-milestone policy	GAP-0058,INV-1278,INV-1283	Heightened change control is needed once the ABI has consumers beyond the V0 demo (four V0.5 apps); complements the mechanical snapshot check with the formal evolution process of §65 rule 10.	ABI-030
ABI-@docs-deprecation-policy-per-layer	V1	docs	S	Publish the deprecation policy per stability layer with notice periods and overlap	GAP-0059	V1 exit requires an accepted SDK stability policy; the per-layer policy is its Layer 1 and Layer 2 half and refines GOV's INV-1288 with concrete windows.	ABI-039
ABI-@docs-fossilization-review	1.0	docs	M	Review ABI, MemoryObject, ComputeDevice and Capability shapes against future hardware	INV-1338,INV-1305,INV-1276	§70 defining constraint: the 1.0 gate includes a fossilization review against CXL, CHERI, NPU and disaggregated-memory scenarios; findings feed the 2.0 RFC.	ABI-054
ABI-@docs-freeze-gate-definition	V1	docs	M	Define the Layer 1 freeze gate: compat suite, fuzz corpus, semantics, add-vs-change policy	GAP-0501,INV-1278	Freeze candidates are named at V1; without a written gate the V4 freeze and the V1 'stable SDK' claim have no verifiable meaning.	ABI-040
ABI-@docs-l1-reference-complete	V3	docs	L	Complete the Layer 1 reference: documented semantics for 100% of entry points	GAP-0501,INV-1280	V3 exit: 100% of Layer 1 entry points have reference pages; ABI authors the normative semantics, DOC generates and publishes.	ABI-046
ABI-@docs-personality-object-mapping	V1	docs	M	Map every Linux and Windows personality object onto its native Object<T> terminus	INV-0107	Tracks the §4 invariant that all three application paths end in native kernel objects as Phase C translation begins; reviewed with LNX and WIN at each milestone.	ABI-041
ABI-@reject-posix-shaped-native	V0	build	S	Lint native surfaces against POSIX-shaped names and Linux syscall numbers	INV-1130	§57/§65: native ABI entries must not exist because POSIX or Linux has an equivalent. ABI lint; BLD would only execute it.	ABI-018
ABI-@spike-entry-mechanism	V0	spike	M	Prototype syscall-per-Operation, shared submission page and vDSO trampoline entry	GAP-0500	Critique freeze-before-spike rule: the entry-mechanism decision needs a prototype of each option before the adr; produces the three prototypes measured by bench-entry-overhead.	ABI-019
ABI-@spike-memory-safe-architectures	V1	spike	M	Catalogue ABI assumptions that break on CHERI, tagged memory and future architectures	INV-0195	Must precede freeze-candidate review so each candidate carries its escape-hatch analysis; complements CAP's CHERI emulator validation (GAP-0487).	ABI-042
ABI-@spike-nt-object-manager	V0.5	spike	M	Study NT object manager, handles, access masks and I/O request packets	INV-1137	Critique moves non-V0-gating research studies to V0.5; informs the DeviceOperation shape and the WIN personality bring-up planned non-gated at V1.	ABI-031
ABI-@spike-zircon-object-model	V0	spike	M	Study Zircon handles, rights, VMOs, channels, FIDL and component framework	INV-1133	Critique keeps the Zircon/Fuchsia study among the six V0 research spikes that inform L1 surfaces; report feeds decide-handle-encoding, decide-object-residency and decide-object-dispatch.	ABI-022
ACC-@action-dispatch	V1	build	M	Route accessibility actions from AT clients to widgets through the tree	INV-0766,INV-0802	Implements activate, focus, set-value, scroll, expand/collapse and custom actions on tree nodes per the one-tree adr, with round-trip tests; needed before any AT client (V2 screen reader) can act.	ACC-006
ACC-@at-capability-broker	V2	build	M	Implement the Capability<AccessibilityTree> broker with secure-field redaction	GAP-0262	Implements the V1 adr: grant issuance via consent, per-app scoping, revocation through SEC's Permissions UI v1, and tree filtering that redacts secure nodes for AT without an elevated grant; tests prove a non-elevated AT cannot read a password field.	ACC-016
ACC-@at-task-script-50	V4	build	M	Extend the assistive-technology script to 50 tasks across shell and every native app	GAP-0266,GAP-0263	Verifies the V4 gate: 50-task script completes 100% with the screen reader across shell, settings and every shipped native application; also runs under magnifier and high contrast.	ACC-031
ACC-@at-task-script-v1	V2	build	S	Write the assistive-technology task script for the four apps and shell settings	GAP-0263	Verifies the V2 gate 'task completion script passes 100%' using the tree test driver plus speech capture; seeds the V4 50-task script.	ACC-017
ACC-@at-user-study	V4	docs	S	Run and report an assistive-technology user study on daily tasks		V4 demo 'an assistive-technology user completes daily tasks across the shell and native apps'; a moderated study with blind and low-vision participants produces a report feeding the RC fix list and the 1.0 evidence dossier.	ACC-032
ACC-@atspi2-bridge	V3	build	L	Bridge AT-SPI2 trees of Linux-personality applications into the native tree	GAP-0265,INV-0929	Screen reader reads and activates L2/L3 corpus GUI apps through an AT-SPI2 consumer contained in the Linux personality (D-Bus stays inside LNX's bridge); includes AT-SPI2 export of the native tree if decide-at-protocol chose 'both'. §49 requires compat apps to integrate with accessibility.	ACC-026
ACC-@bench-at-event-latency	V2	benchmark	S	Benchmark focus-change to speech-onset and tree update latency		BEN's anti-fake-claim policy requires any responsiveness statement about the screen reader to live in the register with a method; harness measures focus change to AT notification and to first audio, published beside Orca on Linux on the same hardware, no target claimed.	ACC-018
ACC-@braille-output	V3	build	M	Add braille display output with BRLTTY-equivalent drivers to the screen reader	GAP-0263	Braille mode of the screen reader over USB/Bluetooth braille displays; V2 gate needs speech only, so braille lands at V3 to derisk the V4 gate and allow LAB to procure a braille display.	ACC-027
ACC-@compat-a11y-scoring	V4	build	S	Add accessibility scoring to L5 and W3 corpus integration checks	INV-0929,GAP-0265	The 1.0 compatibility gate requires 'accessibility where the toolkit exposes it' for every passing Linux and Windows entry; adds a screen-reader read-and-activate check to LNX/WIN scenario scoring using the bridges.	ACC-033
ACC-@conformance-audit	V4	build	M	Audit shell, installer, greeter, lock screen and every native app against the checklist	GAP-0266,GAP-0264	Runs the V3 checklist over every first-party surface, tracks fixes to closure, and verifies keyboard-only operation of the entire shell and high-contrast rendering across shell and apps as the V4 exit requires.	ACC-034
ACC-@conformance-checklist-eaa	V3	docs	S	Author the EN 301 549 / WCAG 2.2 AA checklist and assess EU Accessibility Act duties	GAP-0266,GAP-0077	Defines the checklist every first-party surface is audited against and, with GOV, maps the EU Accessibility Act obligations for operating systems to the conformity evidence 1.0 must publish. V3 scopes out conformance claims, so this is the internal instrument, not a claim.	ACC-028
ACC-@conformity-evidence	1.0	docs	S	Publish the accessibility conformity evidence and hold V4 gates on the release build	GAP-0077,GAP-0266	1.0 exit requires the V4 accessibility gates to hold on the release build and GAP-0077 requires conformity evidence at 1.0: re-run the 50-task script and keyboard-only verification, then publish the EN 301 549 conformance report and EU Accessibility Act evidence with GOV.	ACC-036
ACC-@decide-at-access-capability	V1	adr	S	Decide assistive-technology access as Capability<AccessibilityTree> with redaction	GAP-0262	Decides one thing: AT reach the tree only through a consent-scoped Capability, with password/secure fields redacted unless an elevated grant is held. Options: per-app grants; session-wide grant with secure-field redaction; ambient bus (rejected per §9). Includes the AT keylogging/screen-scraping threat analysis as an addendum to SEC's threat model. Must precede the V2 broker and screen reader.	ACC-007
ACC-@decide-at-protocol	V0.5	adr	S	Decide the assistive-technology protocol: AT-SPI compatible, native, or both	GAP-0554,EXTRA-065	Decides one thing: how AT clients reach the tree (native typed Channel only, AT-SPI2 export, or both). Options enumerated per GAP-0554. Separate from the schema decision; must land before the V1 UI protocol freeze candidates and drives the V3 bridge design.	ACC-001
ACC-@decide-one-tree-or-two	V1	adr	S	Decide whether semantic actions and accessibility actions share one tree	INV-0802,INV-0766	Answers the §42 question with options: single tree with actions typed by the semantic registry; two trees with a consistency contract; a11y tree as a projection of the semantic tree. Must precede action-dispatch and the V1 L2 freeze candidates; needs SEM's V1 registry design as input.	ACC-008
ACC-@decide-tree-schema	V0.5	adr	S	Decide the accessibility tree model shared by the toolkit and semantic interfaces	GAP-0261,EXTRA-065	Decides one thing: the tree contract (roles, states, properties, actions, live regions, text ranges) and whether AccessKit is the schema. Options: adopt AccessKit; native schema with AccessKit export; native only. Critique ordering fix requires acceptance before the UI protocol L2 freeze; V0.5 emission gate depends on it.	ACC-002
ACC-@decide-tts-engine	V1	adr	S	Decide the text-to-speech engine for the native screen reader	GAP-0263	Decides one thing: the speech engine (options: espeak-ng, Piper, vendor voices, pluggable with a default). Scheduled at V1 so the V2 speech service can be built on it; GOV licence policy is an input.	ACC-009
ACC-@developer-guidelines	V1	docs	S	Publish accessibility guidelines for native application developers		SDK v1 ships at V1; developers need labelling, role, focus, contrast and reduced-motion guidance so third-party apps meet the V3 checklist. Content owned by ACC, published through DOC's pipeline.	ACC-010
ACC-@focus-navigation-contract	V1	build	M	Define and implement the focus order and keyboard traversal contract		Required by the V4 gate 'keyboard-only operation of the entire shell verified' and the V2 screen reader prototype, which tracks focus; focus order is derived from the tree, focus-visible indication is mandatory, and traversal rules are testable. ACC scope: keyboard-only.	ACC-011
ACC-@input-accommodations	V2	build	M	Add sticky, slow and bounce keys, mouse keys and dwell click to input routing	GAP-0264	Keyboard and pointer accommodations implemented in UIP's input routing layer under ACC's settings so they apply to native, Linux and Windows windows alike; required by the V3 checklist and V4 script.	ACC-019
ACC-@inspect-tree-dump	V0.5	build	S	Add os inspect accessibility tree dump and the four-app tree dump test	EXTRA-065,INV-0765	Verifies the V0.5 gate: role/name/state for every widget inspectable via os inspect, with a CI tree-dump test on Terminal, File Browser, Text Editor and Image Viewer.	ACC-003
ACC-@installer-screen-reader	V3	build	M	Make installer, greeter, lock screen and recovery operable by the screen reader	GAP-0266	GAP-0266 requires the screen reader from the first installer screen; the graphical installer, greeter and recovery environment arrive at V3, so the speech service and reader must be present in the live image and start on a keystroke, with INS and APP.	ACC-029
ACC-@screen-magnifier	V2	build	M	Build the screen magnifier with focus and caret tracking	GAP-0264	Compositor-level magnification (with GFX) driven by focus and caret positions from the tree; V4 gate lists the magnifier and the V3 checklist requires it.	ACC-020
ACC-@screen-reader-core	V2	build	L	Build the native screen reader: focus tracking, navigation modes, review cursor	GAP-0263	First AT client consuming the tree through the Capability broker: announces focus and state changes, live regions, text ranges in the editor, browse/focus modes and a review cursor. Verified by the V2 exit criterion that it reads and activates every widget in the four apps and shell settings.	ACC-021
ACC-@screen-reader-semantic-client	V2	build	M	Make the screen reader an accessibility client of semantic interfaces	INV-0792	Uses SEM's V1 registry so the screen reader can list and invoke semantic actions (e.g. Editor.open, Terminal.run) without simulating input, proving §42's accessibility consumer; depends on the V1 semantic interface v0.	ACC-022
ACC-@speech-service	V2	build	M	Build the speech Component with voice selection, queueing and interruption	GAP-0263	Text-to-speech service on the decided engine, exposed as a typed interface; utterance queue, priority interruption, rate/pitch/voice settings. Required by the V2 screen reader prototype gate.	ACC-023
ACC-@spike-accesskit-fit	V0.5	spike	S	Evaluate AccessKit as accessibility tree schema and bridge against a native schema	GAP-0261,GAP-0554	Prototype derives role/name/state for the V0.5 toolkit widgets through AccessKit and through a hand-rolled schema, measuring schema fit, licence, Rust maturity and bridge coverage; must precede decide-tree-schema and decide-at-protocol (critique: a11y adr before the UI protocol L2 freeze).	ACC-004
ACC-@spike-compat-at-bridges	V2	spike	M	Prototype consuming AT-SPI2 and Wine UIA/MSAA trees into the native tree	GAP-0265,INV-0929	Feasibility on one GTK app and one Wine app: node mapping fidelity, event latency, D-Bus containment inside the Linux personality, and the security boundary between compat trees and the Capability broker; precedes the V3 bridge builds.	ACC-024
ACC-@spike-tts-engines	V1	spike	S	Measure espeak-ng, Piper and vendor voices for latency, quality, footprint, licence	GAP-0263	Prototype each engine as a sandboxed Component and publish time-to-first-audio, CPU/memory, voice quality and licence findings; must precede decide-tts-engine.	ACC-012
ACC-@tree-incremental-updates	V1	build	M	Complete tree derivation: properties, text ranges, live regions, incremental diffs	INV-0782	Extends automatic derivation beyond role/name/state to the full schema and ships incremental update notifications so AT clients are not re-sent whole trees; prerequisite for the V2 screen reader reading the Text Editor.	ACC-013
ACC-@tree-schema-adapter	V0.5	build	M	Build the accessibility tree crate and derive it from the declarative UI tree	INV-0782,INV-0765,EXTRA-065	Implements the accepted schema as the crate the UIP toolkit emits through, deriving role/name/state automatically from the declarative widget tree so apps need no per-widget work; required for the V0.5 exit criterion that every widget emits metadata. Widget-side wiring stays in UIP.	ACC-005
ACC-@tree-test-driver	V1	build	M	Build a scripted test driver that operates applications through the tree		GAP-0261 rationale names testing as a tree consumer; the V2 'task completion script' and V4 50-task script need a driver that navigates and activates via the accessibility tree rather than synthetic input. Also lets APP acceptance scenarios exercise a11y for free.	ACC-014
ACC-@uia-msaa-bridge	V3	build	L	Bridge UI Automation and MSAA exposed by Wine into the native tree	GAP-0265,INV-0929	Screen reader reads W2 corpus applications via Wine's UIA/MSAA implementation mapped into the native schema; coordinated with WIN, gated on the V3 W2 integration checks.	ACC-030
ACC-@visual-preferences	V2	build	M	Enforce high contrast, large text, reduced motion, colour filters and cursor size	GAP-0264	Accessibility settings service stored via SVC settings storage, surfaced in the V2 Settings app and enforced by the toolkit theme tokens so every native app complies without per-app work; prerequisite for the V3 checklist and the V4 'high contrast across shell and native apps' gate.	ACC-025
ACC-@voice-switch-access	LATER	build	L	Prototype voice control and switch access over semantic actions		Parking rung for alternative input modalities not in the 1.0 definition; they build on semantic actions and the tree test driver rather than synthetic input, so they are cheap once SEM and ACC infrastructure exists.	ACC-037
ACC-@widget-labelling-lint	V1	build	S	Add CI lint failing on unlabelled or roleless interactive widgets	INV-0765	Turns the standing rule that every UI element carries accessibility metadata into an enforced gate at SDK v1: toolkit and first-party apps fail CI on missing role, name or state.	ACC-015
APP-@bench-app-startup	V0.5	benchmark	S	Publish warm and cold startup for the four native applications		V0.5 benchmark gate measures native application warm and cold startup (B-016, B-017) for each of the four apps and publishes; APP owns the per-app harness, BEN owns methodology.	APP-001
APP-@bench-shell-latency	V2	benchmark	S	Publish notification, lock and launcher latencies against desktop baselines		V2 benchmark gates: application warm startup for all shipped native apps (B-016) and unlock-to-interactive-desktop (B-033). BEN GAP-0319 names notification post-to-display and lock-to-unlock; APP instruments the shell.	APP-022
APP-@build-about-panel	V3	build	S	Build the Settings About panel with notices and license texts		GAP-0279 About panel. INS GAP-0014 requires an About/licenses view exposing license texts and the GPL written offer; APP hosts that panel in Settings.	APP-057
APP-@build-alpha-polish	V3	build	M	Polish the desktop shell and applications for external alpha users	INV-1247	V3 §63 polished desktop ready for external users (enthusiasts, developers, researchers). Closes remaining P0/P1 in shell and first-party apps on Tier 1.	APP-058
APP-@build-automation-ui	V3	build	M	Build the automation-rule editor over Semantic interfaces	INV-0846	§45 user-facing automation editor. Depends on done SEM registry and rules engine (V2); no AI broker. Users create and inspect rules without GUI scraping.	APP-059
APP-@build-backup-ui	V3	build	M	Build the backup and restore UI over snapshot-based user-data backup		Critique missing requirement 35: user-data backup to external or network targets as STO/APP at V3. APP owns schedule/progress/restore UI; STO owns encrypted snapshot backup.	APP-060
APP-@build-browser-integration	V2	build	M	Integrate the default browser with URL dispatch, downloads and chooser	GAP-0308	V2 browser integration: default-browser registration, URL dispatch, downloads into capability-scoped locations, WebRTC camera/microphone through native capabilities, file-chooser portal. Widevine CDM is MED/LNX.	APP-023
APP-@build-chooser-ui	V0.5	build	M	Build the OS-owned file chooser UI minting UserSelected capabilities	INV-0487	V0.5 gate: Image Viewer opens a user-chosen image via UserSelected and cannot enumerate the directory. APP owns the privileged chooser UI; STO owns UserSelected authority minting (§25).	APP-002
APP-@build-clipboard-history	V2	build	S	Build clipboard history with sensitive-item exclusion	GAP-0275	V2 clipboard history as a privileged shell feature; sources mark entries ephemeral and excluded from history and sync. UIP owns clipboard Capability policy.	APP-024
APP-@build-compat-launch	V1	build	S	Integrate Linux personality Git, browser and IDE into launcher and chooser		V1 scope: Git and a browser via the Linux personality integrated into launcher, clipboard and file chooser (APP, LNX). Availability is LNX; this is the APP integration half.	APP-010
APP-@build-consent-ui	V2	build	M	Build the trusted consent prompt UI for Capability requests	INV-0832	Workstreams.md Applications sub-scope: consent UI (policy in SEC). V2 gate and demo: permissions prompt for camera/microphone/files/network/screen capture, deny without crash. GFX GAP-0228 protects the trusted Surface.	APP-025
APP-@build-default-apps-ui	V2	build	S	Build the default-application picker over the system registry		GAP-0279 default-apps panel. SVC owns the headless default-application registry (GAP-0280 reassigned from PKG); APP owns the picker that grants a Capability to just the opened object.	APP-026
APP-@build-demo-editor	V0.5	build	M	Build the demo native Text Editor	INV-1189	V0.5 exit and §60 demo require a native Text Editor with declarative UI, a11y metadata, and scripted acceptance; kernel-scale editing is V1.	APP-003
APP-@build-demo-terminal	V0.5	build	M	Build the demo native Terminal on the system text stack	INV-1107,INV-1187	V0.5 exit requires a demo native Terminal that passes scripted scenarios. Daily-driving feature bar (tabs, splits, OSC 8, Sixel/Kitty) waits for V1.	APP-004
APP-@build-demo-viewer	V0.5	build	M	Build the demo Image Viewer with an isolated decoder Component	INV-1190	V0.5 gate: Image Viewer starts with UI and GPU capabilities only, opens a UserSelected image, and decodes in an isolated Component (§11, §60).	APP-005
APP-@build-desktop-search	V2	build	M	Build desktop search as a Background-intent Component	EXTRA-044	Critique: desktop search/indexing is APP with STO. Background-intent Component over storage capabilities powers launcher search without ambient home access. STO GAP-0315 is the store-side index service.	APP-027
APP-@build-editor-daily	V1	build	M	Extend Text Editor for kernel and platform development on the OS	INV-1197	V1 exit: editor/IDE usable for kernel and platform development on the OS. Native Text Editor must open the OS tree, search, and jump to diagnostics; Linux personality IDEs are LNX.	APP-011
APP-@build-emoji-picker	V2	build	S	Build the emoji picker as an input-method protocol client	GAP-0256	V2 emoji and special-character picker invoked by a global shortcut, committing text through the same input-method protocol. TXT owns IME protocol; this is the system picker client.	APP-028
